Index,Repository,URL,Stars,Year,Vulnerability Type,Risk Level,Has TrustedIPs,File Path
92,julienhmmt/docker-compose,https://github.com/julienhmmt/docker-compose,147,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_2_1767028255/julienhmmt_docker-compose/traefik-linkwarden/docker-compose.yml
93,codeaprendiz/learn-kubernetes,https://github.com/codeaprendiz/learn-kubernetes,53,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/codeaprendiz_learn-kubernetes/gcp/task-005-traefik-whoami/05-traefik-rbac.yml
94,cedrichopf/traefik-dockerized,https://github.com/cedrichopf/traefik-dockerized,53,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_3_1767028255/cedrichopf_traefik-dockerized/override.example.yml
95,korridor/reverse-proxy-docker-traefik,https://github.com/korridor/reverse-proxy-docker-traefik,53,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_4_1767028255/korridor_reverse-proxy-docker-traefik/docker-compose.local.yml
96,kaysond/trafficjam,https://github.com/kaysond/trafficjam,176,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_6_1767028255/kaysond_trafficjam/test/docker-compose-dind-allowhost.yml
97,sleighzy/k3s-traefik-v2-kubernetes-crd,https://github.com/sleighzy/k3s-traefik-v2-kubernetes-crd,162,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_1_1767028255/sleighzy_k3s-traefik-v2-kubernetes-crd/005-deployment.yaml
98,andif888/workfromhome-with-docker,https://github.com/andif888/workfromhome-with-docker,84,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_5_1767028255/andif888_workfromhome-with-docker/docker-compose.yml
99,sleighzy/k3s-traefik-forward-auth-openid-connect,https://github.com/sleighzy/k3s-traefik-forward-auth-openid-connect,72,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_15_1767028255/sleighzy_k3s-traefik-forward-auth-openid-connect/001-secrets.yaml
100,bucherfa/server-setup,https://github.com/bucherfa/server-setup,88,2020,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_12_1767028255/bucherfa_server-setup/bitwarden/docker-compose.yml
101,anonaddy/docker,https://github.com/anonaddy/docker,673,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_14_1767028255/anonaddy_docker/examples/traefik/compose.yml
102,Heziode/traefik-v2-https-ssl-localhost,https://github.com/Heziode/traefik-v2-https-ssl-localhost,243,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_8_1767028255/Heziode_traefik-v2-https-ssl-localhost/whoami.yml
103,kereis/traefik-certs-dumper,https://github.com/kereis/traefik-certs-dumper,183,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_9_1767028255/kereis_traefik-certs-dumper/dev/docker-compose.yml
104,nmarus/docker-swarm-ansible,https://github.com/nmarus/docker-swarm-ansible,78,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_0_1767028255/nmarus_docker-swarm-ansible/playbooks/redeploy-apps.yml
105,asatrya/keycloak-traefik-tutorial,https://github.com/asatrya/keycloak-traefik-tutorial,95,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/asatrya_keycloak-traefik-tutorial/docker-compose.yml
106,crazy-max/docker-flarum,https://github.com/crazy-max/docker-flarum,240,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_1_1767028255/crazy-max_docker-flarum/examples/subfolder/compose.yml
107,mmatur/traefik-cert-manager,https://github.com/mmatur/traefik-cert-manager,76,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_7_1767028255/mmatur_traefik-cert-manager/traefik/values.yaml
108,SimpleHomelab/Docker-Traefik,https://github.com/SimpleHomelab/Docker-Traefik,3389,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_10_1767028255/SimpleHomelab_Docker-Traefik/docker-compose-ws-arm.yml
109,pascaliske/infrastructure,https://github.com/pascaliske/infrastructure,68,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_3_1767028255/pascaliske_infrastructure/mkdocs.yml
110,crazy-max/docker-qbittorrent,https://github.com/crazy-max/docker-qbittorrent,79,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_5_1767028255/crazy-max_docker-qbittorrent/examples/traefik/compose.yml
111,bubelov/traefik-letsencrypt-compose,https://github.com/bubelov/traefik-letsencrypt-compose,105,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_4_1767028255/bubelov_traefik-letsencrypt-compose/docker-compose.yml
112,pyrou/traefik.me,https://github.com/pyrou/traefik.me,188,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_15_1767028255/pyrou_traefik.me/docs/tls.yml
113,darkweak/souin,https://github.com/darkweak/souin,916,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_6_1767028255/darkweak_souin/.traefik.yml
114,CVJoint/traefik2,https://github.com/CVJoint/traefik2,223,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_13_1767028255/CVJoint_traefik2/ymlfiles/rsync.yml
115,traefik/traefik-helm-chart,https://github.com/traefik/traefik-helm-chart,1287,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_12_1767028255/traefik_traefik-helm-chart/traefik-crds/kustomization.yaml
116,derekbar90/catalyst,https://github.com/derekbar90/catalyst,62,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_14_1767028255/derekbar90_catalyst/docker-compose.yml
117,EdyTheCow/docker-pterodactyl,https://github.com/EdyTheCow/docker-pterodactyl,352,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_9_1767028255/EdyTheCow_docker-pterodactyl/panel/compose/docker-compose.yml
118,realtarget/traefik2-docker-stack,https://github.com/realtarget/traefik2-docker-stack,143,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_8_1767028255/realtarget_traefik2-docker-stack/rocketchat/docker-compose.yml
119,traefik/traefik-migration-tool,https://github.com/traefik/traefik-migration-tool,147,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_10_1767028255/traefik_traefik-migration-tool/.goreleaser.yml
120,mesosphere/traefik-forward-auth,https://github.com/mesosphere/traefik-forward-auth,245,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_11_1767028255/mesosphere_traefik-forward-auth/hack/rule-gen/konvoy-rules-config.yaml
121,LtHummus/AuthThingie,https://github.com/LtHummus/AuthThingie,50,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_7_1767028255/LtHummus_AuthThingie/docker-compose.yaml
122,tomMoulard/make-my-server,https://github.com/tomMoulard/make-my-server,569,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_1_1767028255/tomMoulard_make-my-server/test_config.yml
123,traefik/mesh,https://github.com/traefik/mesh,2084,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_0_1767028255/traefik_mesh/.goreleaser.yml
124,cbirkenbeul/docker-homelab,https://github.com/cbirkenbeul/docker-homelab,647,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_3_1767028255/cbirkenbeul_docker-homelab/compose-files-traefik-predefined/recipes/docker-compose.yaml
125,rsoper/richardsoper.me,https://github.com/rsoper/richardsoper.me,50,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_5_1767028255/rsoper_richardsoper.me/monitoring/prometheus/prometheus.yml
126,tiredofit/docker-traefik-cloudflare-companion,https://github.com/tiredofit/docker-traefik-cloudflare-companion,532,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_4_1767028255/tiredofit_docker-traefik-cloudflare-companion/examples/compose.yml
127,travisghansen/external-auth-server,https://github.com/travisghansen/external-auth-server,337,2019,trustForwardHeader (YAML),medium,No,tmp_traefik/traefik_scan_12_1767028255/travisghansen_external-auth-server/examples/traefik-v2-kubernetes-crd.yaml
128,ibuetler/docker-keycloak-traefik-workshop,https://github.com/ibuetler/docker-keycloak-traefik-workshop,246,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_15_1767028255/ibuetler_docker-keycloak-traefik-workshop/keycloak-gatekeeper/docker-compose.yml
129,woniuzfb/iptv,https://github.com/woniuzfb/iptv,944,2019,trustForwardHeader (YAML),medium,No,tmp_traefik/traefik_scan_6_1767028255/woniuzfb_iptv/scripts/docker/docker-compose.yml
130,khast3x/Redcloud,https://github.com/khast3x/Redcloud,1260,2019,traefik docker-compose,medium,No,tmp_traefik/traefik_scan_10_1767028255/khast3x_Redcloud/docker-compose.yml
